time,type,id,x,y,z
0.000000,attacker,0,1353.494263,4676.166016,887.417969
0.000000,attacker,1,4729.674316,4194.268066,609.717529
0.000000,attacker,2,1913.707764,1844.421143,219.338211
0.000000,attacker,3,3032.667725,3351.084473,387.778320
0.000000,attacker,4,746.645874,329.307495,814.817566
0.000000,attacker,5,809.047852,4838.539062,752.805603
0.000000,attacker,6,2418.467773,297.300201,921.872864
0.000000,attacker,7,4883.799805,4149.638184,437.868988
0.000000,attacker,8,2351.163086,2730.884766,626.636475
0.000000,attacker,9,4663.030273,4056.931885,647.173035
0.000000,defender,0,998.200562,995.236389,8.606561
0.000000,defender,1,1009.296936,3999.516846,3.651355
0.000000,defender,2,3991.102295,1003.105896,3.344405
0.000000,defender,3,3996.941650,3991.638916,4.554031
0.000000,defender,4,2494.467773,1007.087097,4.377925
0.000000,defender,5,2492.867920,4003.808350,5.884738
0.000000,defender,6,1001.802185,2507.948486,5.794330
0.000000,defender,7,4002.999268,2507.664062,5.680467
0.000000,defender,8,1498.945557,2008.811646,4.609012
0.000000,defender,9,3492.867188,3005.363037,4.512248
0.010000,attacker,0,1353.960693,4675.891113,889.857666
0.010000,attacker,1,4728.471680,4193.238281,611.651184
0.010000,attacker,2,1913.334961,1844.076660,221.785156
0.010000,attacker,3,3032.861572,3350.938965,390.265564
0.010000,attacker,4,746.750671,329.584991,817.298950
0.010000,attacker,5,810.212891,4838.232910,754.995300
0.010000,attacker,6,2419.100830,297.581512,924.273987
0.010000,attacker,7,4882.876953,4149.580078,440.190735
0.010000,attacker,8,2350.614258,2730.791016,629.072693
0.010000,attacker,9,4662.755859,4056.908203,649.656799
0.010000,defender,0,996.401062,990.472717,17.213230
0.010000,defender,1,1018.593750,3999.033936,7.302948
0.010000,defender,2,3982.204834,1006.211792,6.689054
0.010000,defender,3,3993.883301,3983.278076,9.108288
0.010000,defender,4,2488.935547,1014.174377,8.755743
0.010000,defender,5,2485.735840,4007.616699,11.769678
0.010000,defender,6,1003.604309,2515.896973,11.588865
0.010000,defender,7,4005.998535,2515.328125,11.361138
0.010000,defender,8,1497.891113,2017.623169,9.218246
0.010000,defender,9,3485.734619,3010.726074,9.024721
0.020000,attacker,0,1354.427124,4675.616211,892.296387
0.020000,attacker,1,4727.269043,4192.208496,613.583862
0.020000,attacker,2,1912.962158,1843.732178,224.231125
0.020000,attacker,3,3033.055420,3350.793457,392.751831
0.020000,attacker,4,746.855469,329.862488,819.779358
0.020000,attacker,5,811.377930,4837.926758,757.183960
0.020000,attacker,6,2419.733887,297.862823,926.674072
0.020000,attacker,7,4881.954102,4149.521973,442.511505
0.020000,attacker,8,2350.065430,2730.697266,631.507935
0.020000,attacker,9,4662.481445,4056.884521,652.139587
0.020000,defender,0,994.601562,985.708923,25.820011
0.020000,defender,1,1027.890381,3998.551025,10.954781
0.020000,defender,2,3973.307617,1009.317627,10.033945
0.020000,defender,3,3990.825195,3974.917236,13.662771
0.020000,defender,4,2483.403564,1021.261841,13.133477
0.020000,defender,5,2478.603760,4011.425049,17.654821
0.020000,defender,6,1005.406372,2523.845215,17.383608
0.020000,defender,7,4008.997803,2522.991943,17.042017
0.020000,defender,8,1496.836670,2026.434570,13.827705
0.020000,defender,9,3478.602051,3016.089111,13.537420
0.030000,attacker,0,1354.893555,4675.341309,894.734131
0.030000,attacker,1,4726.066406,4191.178711,615.515564
0.030000,attacker,2,1912.589355,1843.387695,226.676102
0.030000,attacker,3,3033.249268,3350.647949,395.237122
0.030000,attacker,4,746.960266,330.139984,822.258728
0.030000,attacker,5,812.542969,4837.620605,759.371643
0.030000,attacker,6,2420.366943,298.144135,929.073181
0.030000,attacker,7,4881.031250,4149.463867,444.831299
0.030000,attacker,8,2349.516602,2730.603516,633.942200
0.030000,attacker,9,4662.207031,4056.860840,654.621399
0.030000,defender,0,992.802002,980.945068,34.426910
0.030000,defender,1,1037.186890,3998.068115,14.606853
0.030000,defender,2,3964.410400,1012.423462,13.379081
0.030000,defender,3,3987.767090,3966.556641,18.217480
0.030000,defender,4,2477.871826,1028.349487,17.511150
0.030000,defender,5,2471.471924,4015.233154,23.540169
0.030000,defender,6,1007.208435,2531.793457,23.178556
0.030000,defender,7,4011.997070,2530.655762,22.723103
0.030000,defender,8,1495.782227,2035.245850,18.437389
0.030000,defender,9,3471.469482,3021.451904,18.050346
0.040000,attacker,0,1355.359985,4675.066406,897.170898
0.040000,attacker,1,4724.863770,4190.148926,617.446289
0.040000,attacker,2,1912.216553,1843.043213,229.120102
0.040000,attacker,3,3033.443115,3350.502441,397.721405
0.040000,attacker,4,747.065063,330.417480,824.737122
0.040000,attacker,5,813.708008,4837.314453,761.558350
0.040000,attacker,6,2421.000000,298.425446,931.471313
0.040000,attacker,7,4880.108398,4149.405762,447.150085
0.040000,attacker,8,2348.967773,2730.509766,636.375488
0.040000,attacker,9,4661.932617,4056.837158,657.102234
0.040000,defender,0,991.002441,976.181152,43.033932
0.040000,defender,1,1046.483276,3997.585205,18.259163
0.040000,defender,2,3955.513428,1015.529236,16.724461
0.040000,defender,3,3984.708984,3958.196045,22.772415
0.040000,defender,4,2472.340088,1035.437256,21.888788
0.040000,defender,5,2464.340088,4019.041260,29.425720
0.040000,defender,6,1009.010437,2539.741455,28.973713
0.040000,defender,7,4014.996338,2538.319336,28.404396
0.040000,defender,8,1494.727783,2044.057007,23.047298
0.040000,defender,9,3464.337158,3026.814697,22.563499
0.050000,attacker,0,1355.826416,4674.791504,899.606628
0.050000,attacker,1,4723.661133,4189.119141,619.376038
0.050000,attacker,2,1911.843750,1842.698730,231.563126
0.050000,attacker,3,3033.636963,3350.356934,400.204712
0.050000,attacker,4,747.169861,330.694977,827.214539
0.050000,attacker,5,814.873047,4837.008301,763.744080
0.050000,attacker,6,2421.633057,298.706757,933.868469
0.050000,attacker,7,4879.185547,4149.347656,449.467896
0.050000,attacker,8,2348.418945,2730.416016,638.807800
0.050000,attacker,9,4661.658203,4056.813477,659.582092
0.050000,defender,0,989.202820,971.417175,51.641079
0.050000,defender,1,1055.779541,3997.102295,21.911713
0.050000,defender,2,3946.616455,1018.635010,20.070084
0.050000,defender,3,3981.650879,3949.835693,27.327576
0.050000,defender,4,2466.808594,1042.525146,26.266415
0.050000,defender,5,2457.208252,4022.849365,35.311478
0.050000,defender,6,1010.812378,2547.689453,34.769077
0.050000,defender,7,4017.995605,2545.982910,34.085899
0.050000,defender,8,1493.673340,2052.867920,27.657431
0.050000,defender,9,3457.204834,3032.177490,27.076878
0.060000,attacker,0,1356.292847,4674.516602,902.041382
0.060000,attacker,1,4722.458496,4188.089355,621.304810
0.060000,attacker,2,1911.470947,1842.354248,234.005173
0.060000,attacker,3,3033.830811,3350.211426,402.687042
0.060000,attacker,4,747.274658,330.972473,829.690979
0.060000,attacker,5,816.038086,4836.702148,765.928833
0.060000,attacker,6,2422.266113,298.988068,936.264648
0.060000,attacker,7,4878.262695,4149.289551,451.784729
0.060000,attacker,8,2347.870117,2730.322266,641.239136
0.060000,attacker,9,4661.383789,4056.789795,662.060974
0.060000,defender,0,987.403198,966.653137,60.248360
0.060000,defender,1,1065.075684,3996.619385,25.564503
0.060000,defender,2,3937.719727,1021.740723,23.415949
0.060000,defender,3,3978.592773,3941.475342,31.882963
0.060000,defender,4,2461.277344,1049.613281,30.644051
0.060000,defender,5,2450.076660,4026.657471,41.197437
0.060000,defender,6,1012.614319,2555.637207,40.564648
0.060000,defender,7,4020.994873,2553.646484,39.767609
0.060000,defender,8,1492.618896,2061.678711,32.267788
0.060000,defender,9,3450.072754,3037.540039,31.590483
0.070000,attacker,0,1356.759277,4674.241699,904.475159
0.070000,attacker,1,4721.255859,4187.059570,623.232605
0.070000,attacker,2,1911.098145,1842.009766,236.446228
0.070000,attacker,3,3034.024658,3350.065918,405.168396
0.070000,attacker,4,747.379456,331.249969,832.166443
0.070000,attacker,5,817.203125,4836.395996,768.112610
0.070000,attacker,6,2422.899170,299.269379,938.659851
0.070000,attacker,7,4877.339844,4149.231445,454.100586
0.070000,attacker,8,2347.321289,2730.228516,643.669495
0.070000,attacker,9,4661.109375,4056.766113,664.538879
0.070000,defender,0,985.603577,961.889038,68.855774
0.070000,defender,1,1074.371704,3996.136475,29.217531
0.070000,defender,2,3928.822998,1024.846436,26.762058
0.070000,defender,3,3975.534668,3933.115234,36.438576
0.070000,defender,4,2455.746338,1056.701538,35.021717
0.070000,defender,5,2442.945068,4030.465332,47.083603
0.070000,defender,6,1014.416199,2563.584961,46.360424
0.070000,defender,7,4023.993896,2561.309814,45.449528
0.070000,defender,8,1491.564453,2070.489502,36.878368
0.070000,defender,9,3442.940674,3042.902588,36.104313
0.080000,attacker,0,1357.225708,4673.966797,906.907959
0.080000,attacker,1,4720.053223,4186.029785,625.159424
0.080000,attacker,2,1910.725342,1841.665283,238.886307
0.080000,attacker,3,3034.218506,3349.920410,407.648773
0.080000,attacker,4,747.484253,331.527466,834.640930
0.080000,attacker,5,818.368164,4836.089844,770.295410
0.080000,attacker,6,2423.532227,299.550690,941.054077
0.080000,attacker,7,4876.416992,4149.173340,456.415466
0.080000,attacker,8,2346.772461,2730.134766,646.098877
0.080000,attacker,9,4660.834961,4056.742432,667.015808
0.080000,defender,0,983.803894,957.124878,77.463333
0.080000,defender,1,1083.667480,3995.653564,32.870800
0.080000,defender,2,3919.926514,1027.952148,30.108412
0.080000,defender,3,3972.476807,3924.755127,40.994415
0.080000,defender,4,2450.215576,1063.789917,39.399433
0.080000,defender,5,2435.813477,4034.273193,52.969975
0.080000,defender,6,1016.218018,2571.532715,52.156406
0.080000,defender,7,4026.992920,2568.973145,51.131657
0.080000,defender,8,1490.510010,2079.300049,41.489174
0.080000,defender,9,3435.808838,3048.265137,40.618370
0.090000,attacker,0,1357.692139,4673.691895,909.339783
0.090000,attacker,1,4718.850586,4185.000000,627.085266
0.090000,attacker,2,1910.352539,1841.320801,241.325409
0.090000,attacker,3,3034.412354,3349.774902,410.128174
0.090000,attacker,4,747.589050,331.804962,837.114441
0.090000,attacker,5,819.533203,4835.783691,772.477234
0.090000,attacker,6,2424.165283,299.832001,943.447327
0.090000,attacker,7,4875.494141,4149.115234,458.729370
0.090000,attacker,8,2346.223633,2730.041016,648.527283
0.090000,attacker,9,4660.560547,4056.718750,669.491760
0.090000,defender,0,982.004211,952.360718,86.071030
0.090000,defender,1,1092.963135,3995.170654,36.524307
0.090000,defender,2,3911.030029,1031.057739,33.455009
0.090000,defender,3,3969.418945,3916.395264,45.550480
0.090000,defender,4,2444.685059,1070.878418,43.777218
0.090000,defender,5,2428.682129,4038.081055,58.856552
0.090000,defender,6,1018.019836,2579.480225,57.952599
0.090000,defender,7,4029.991943,2576.636230,56.813995
0.090000,defender,8,1489.455566,2088.110352,46.100204
0.090000,defender,9,3428.677002,3053.627441,45.132656
0.100000,attacker,0,1358.158569,4673.416992,911.770630
0.100000,attacker,1,4717.647949,4183.970215,629.010132
0.100000,attacker,2,1909.979736,1840.976318,243.763519
0.100000,attacker,3,3034.606201,3349.629395,412.606598
0.100000,attacker,4,747.693848,332.082458,839.586975
0.100000,attacker,5,820.698242,4835.477539,774.658081
0.100000,attacker,6,2424.798340,300.113312,945.839600
0.100000,attacker,7,4874.571289,4149.057129,461.042297
0.100000,attacker,8,2345.674805,2729.947266,650.954651
0.100000,attacker,9,4660.286133,4056.695068,671.966736
0.100000,defender,0,980.204529,947.596497,94.678879
0.100000,defender,1,1102.258667,3994.687744,40.178055
0.100000,defender,2,3902.133789,1034.163330,36.801849
0.100000,defender,3,3966.361084,3908.035400,50.106773
0.100000,defender,4,2439.154785,1077.966919,48.155087
0.100000,defender,5,2421.550781,4041.888916,64.743340
0.100000,defender,6,1019.821594,2587.427734,63.748997
0.100000,defender,7,4032.990967,2584.299316,62.496540
0.100000,defender,8,1488.401123,2096.920654,50.711456
0.100000,defender,9,3421.545166,3058.989746,49.647167
0.110000,attacker,0,1358.625000,4673.142090,914.200500
0.110000,attacker,1,4716.445312,4182.940430,630.934021
0.110000,attacker,2,1909.606934,1840.631836,246.200653
0.110000,attacker,3,3034.800049,3349.483887,415.084015
0.110000,attacker,4,747.798645,332.359955,842.058533
0.110000,attacker,5,821.863281,4835.171387,776.837952
0.110000,attacker,6,2425.431396,300.394623,948.230896
0.110000,attacker,7,4873.648438,4148.999023,463.354218
0.110000,attacker,8,2345.125977,2729.853516,653.381042
0.110000,attacker,9,4660.011719,4056.671387,674.440735
0.110000,defender,0,978.404846,942.832275,103.286880
0.110000,defender,1,1111.554077,3994.204834,43.832039
0.110000,defender,2,3893.237793,1037.268921,40.148933
0.110000,defender,3,3963.303223,3899.675781,54.663292
0.110000,defender,4,2433.624756,1085.055542,52.533051
0.110000,defender,5,2414.419434,4045.696533,70.630325
0.110000,defender,6,1021.623291,2595.375000,69.545601
0.110000,defender,7,4035.989990,2591.962158,68.179291
0.110000,defender,8,1487.346680,2105.730713,55.322933
0.110000,defender,9,3414.413574,3064.351807,54.161903
0.120000,attacker,0,1359.091431,4672.867188,916.629395
0.120000,attacker,1,4715.242676,4181.910645,632.856934
0.120000,attacker,2,1909.234131,1840.287354,248.636810
0.120000,attacker,3,3034.993896,3349.338379,417.560455
0.120000,attacker,4,747.903442,332.637451,844.529114
0.120000,attacker,5,823.028320,4834.865234,779.016846
0.120000,attacker,6,2426.064453,300.675934,950.621216
0.120000,attacker,7,4872.725586,4148.940918,465.665161
0.120000,attacker,8,2344.577148,2729.759766,655.806458
0.120000,attacker,9,4659.737305,4056.647705,676.913696
0.120000,defender,0,976.605164,938.068054,111.895035
0.120000,defender,1,1120.849365,3993.722168,47.486263
0.120000,defender,2,3884.341797,1040.374512,43.496262
0.120000,defender,3,3960.245361,3891.316162,59.220036
0.120000,defender,4,2428.094971,1092.144287,56.911125
0.120000,defender,5,2407.288330,4049.504150,76.517517
0.120000,defender,6,1023.424988,2603.322021,75.342415
0.120000,defender,7,4038.989014,2599.625000,73.862251
0.120000,defender,8,1486.292236,2114.540771,59.934635
0.120000,defender,9,3407.281982,3069.713867,58.676868
0.130000,attacker,0,1359.557861,4672.592285,919.057312
0.130000,attacker,1,4714.040039,4180.880859,634.778809
0.130000,attacker,2,1908.861328,1839.942871,251.071991
0.130000,attacker,3,3035.187744,3349.192871,420.035919
0.130000,attacker,4,748.008240,332.914948,846.998718
0.130000,attacker,5,824.193359,4834.559082,781.194763
0.130000,attacker,6,2426.697510,300.957245,953.010559
0.130000,attacker,7,4871.802734,4148.882812,467.975128
0.130000,attacker,8,2344.028320,2729.666016,658.230896
0.130000,attacker,9,4659.462891,4056.624023,679.385681
0.130000,defender,0,974.805481,933.303833,120.503349
0.130000,defender,1,1130.144531,3993.239502,51.140728
0.130000,defender,2,3875.446045,1043.479980,46.843834
0.130000,defender,3,3957.187744,3882.956787,63.777004
0.130000,defender,4,2422.565430,1099.233032,61.289318
0.130000,defender,5,2400.157227,4053.311768,82.404915
0.130000,defender,6,1025.226562,2611.269043,81.139435
0.130000,defender,7,4041.988037,2607.287598,79.545425
0.130000,defender,8,1485.237793,2123.350586,64.546562
0.130000,defender,9,3400.150635,3075.075928,63.192059
0.140000,attacker,0,1360.024292,4672.317383,921.484253
0.140000,attacker,1,4712.837402,4179.851074,636.699707
0.140000,attacker,2,1908.488525,1839.598389,253.506180
0.140000,attacker,3,3035.381592,3349.047363,422.510406
0.140000,attacker,4,748.113037,333.192444,849.467346
0.140000,attacker,5,825.358398,4834.252930,783.371704
0.140000,attacker,6,2427.330566,301.238556,955.398926
0.140000,attacker,7,4870.879883,4148.824707,470.284119
0.140000,attacker,8,2343.479492,2729.572266,660.654358
0.140000,attacker,9,4659.188477,4056.600342,681.856689
0.140000,defender,0,973.005798,928.539612,129.111816
0.140000,defender,1,1139.439453,3992.756836,54.795429
0.140000,defender,2,3866.550293,1046.585449,50.191650
0.140000,defender,3,3954.130127,3874.597656,68.334198
0.140000,defender,4,2417.036133,1106.321899,65.667633
0.140000,defender,5,2393.026367,4057.119141,88.292519
0.140000,defender,6,1027.028198,2619.215820,86.936661
0.140000,defender,7,4044.986816,2614.950195,85.228806
0.140000,defender,8,1484.183350,2132.160156,69.158714
0.140000,defender,9,3393.019287,3080.437744,67.707474
0.150000,attacker,0,1360.490723,4672.042480,923.910217
0.150000,attacker,1,4711.634766,4178.821289,638.619629
0.150000,attacker,2,1908.115723,1839.253906,255.939392
0.150000,attacker,3,3035.575439,3348.901855,424.983917
0.150000,attacker,4,748.217834,333.469940,851.934998
0.150000,attacker,5,826.523438,4833.946777,785.547668
0.150000,attacker,6,2427.963623,301.519867,957.786316
0.150000,attacker,7,4869.957031,4148.766602,472.592133
0.150000,attacker,8,2342.930664,2729.478516,663.076843
0.150000,attacker,9,4658.914062,4056.576660,684.326721
0.150000,defender,0,971.206116,923.775452,137.720444
0.150000,defender,1,1148.734253,3992.274170,58.450371
0.150000,defender,2,3857.654785,1049.690918,53.539711
0.150000,defender,3,3951.072510,3866.238525,72.891617
0.150000,defender,4,2411.507080,1113.410767,70.046089
0.150000,defender,5,2385.895508,4060.926514,94.180328
0.150000,defender,6,1028.829712,2627.162598,92.734093
0.150000,defender,7,4047.985596,2622.612549,90.912399
0.150000,defender,8,1483.128906,2140.969727,73.771088
0.150000,defender,9,3385.888184,3085.799561,72.223114
0.160000,attacker,0,1360.957153,4671.767578,926.335205
0.160000,attacker,1,4710.432129,4177.791504,640.538574
0.160000,attacker,2,1907.742920,1838.909424,258.371613
0.160000,attacker,3,3035.769287,3348.756348,427.456451
0.160000,attacker,4,748.322632,333.747437,854.401672
0.160000,attacker,5,827.688477,4833.640625,787.722595
0.160000,attacker,6,2428.596680,301.801178,960.172668
0.160000,attacker,7,4869.034180,4148.708496,474.899170
0.160000,attacker,8,2342.381836,2729.384766,665.498352
0.160000,attacker,9,4658.639648,4056.552979,686.795776
0.160000,defender,0,969.406433,919.011292,146.329239
0.160000,defender,1,1158.028931,3991.791504,62.105553
0.160000,defender,2,3848.759521,1052.796265,56.888016
0.160000,defender,3,3948.014893,3857.879639,77.449265
0.160000,defender,4,2405.978271,1120.499756,74.424683
0.160000,defender,5,2378.764893,4064.733887,100.068344
0.160000,defender,6,1030.631226,2635.109131,98.531731
0.160000,defender,7,4050.984375,2630.274902,96.596199
0.160000,defender,8,1482.074463,2149.779053,78.383690
0.160000,defender,9,3378.757080,3091.161377,76.738983
0.170000,attacker,0,1361.423584,4671.492676,928.759216
0.170000,attacker,1,4709.229492,4176.761719,642.456543
0.170000,attacker,2,1907.370117,1838.564941,260.802856
0.170000,attacker,3,3035.963135,3348.610840,429.928009
0.170000,attacker,4,748.427429,334.024933,856.867310
0.170000,attacker,5,828.853516,4833.334473,789.896545
0.170000,attacker,6,2429.229736,302.082489,962.558044
0.170000,attacker,7,4868.111328,4148.650391,477.205231
0.170000,attacker,8,2341.833008,2729.291016,667.918884
0.170000,attacker,9,4658.365234,4056.529297,689.263855
0.170000,defender,0,967.606812,914.247192,154.938202
0.170000,defender,1,1167.323486,3991.308838,65.760971
0.170000,defender,2,3839.864258,1055.901611,60.236565
0.170000,defender,3,3944.957275,3849.520752,82.007141
0.170000,defender,4,2400.449463,1127.588745,78.803429
0.170000,defender,5,2371.634277,4068.541260,105.956566
0.170000,defender,6,1032.432617,2643.055664,104.329575
0.170000,defender,7,4053.983154,2637.937012,102.280205
0.170000,defender,8,1481.020020,2158.588379,82.996513
0.170000,defender,9,3371.626221,3096.522949,81.255081
0.180000,attacker,0,1361.890015,4671.217773,931.182251
0.180000,attacker,1,4708.026855,4175.731934,644.373535
0.180000,attacker,2,1906.997314,1838.220459,263.233124
0.180000,attacker,3,3036.156982,3348.465332,432.398560
0.180000,attacker,4,748.532227,334.302429,859.331970
0.180000,attacker,5,830.018555,4833.028320,792.069519
0.180000,attacker,6,2429.862793,302.363800,964.942444
0.180000,attacker,7,4867.188477,4148.592285,479.510284
0.180000,attacker,8,2341.284180,2729.197266,670.338440
0.180000,attacker,9,4658.090820,4056.505615,691.730957
0.180000,defender,0,965.807190,909.483154,163.547333
0.180000,defender,1,1176.617798,3990.826172,69.416634
0.180000,defender,2,3830.969238,1059.006958,63.585354
0.180000,defender,3,3941.899658,3841.162109,86.565239
0.180000,defender,4,2394.920898,1134.677734,83.182327
0.180000,defender,5,2364.503906,4072.348389,111.844994
0.180000,defender,6,1034.234009,2651.001953,110.127625
0.180000,defender,7,4056.981934,2645.598877,107.964424
0.180000,defender,8,1479.965576,2167.397461,87.609566
0.180000,defender,9,3364.495361,3101.884521,85.771408
0.190000,attacker,0,1362.356445,4670.942871,933.604248
0.190000,attacker,1,4706.824219,4174.702148,646.289551
0.190000,attacker,2,1906.624512,1837.875977,265.662415
0.190000,attacker,3,3036.350830,3348.319824,434.868134
0.190000,attacker,4,748.637024,334.579926,861.795654
0.190000,attacker,5,831.183594,4832.722168,794.241516
0.190000,attacker,6,2430.495850,302.645111,967.325867
0.190000,attacker,7,4866.265625,4148.534180,481.814362
0.190000,attacker,8,2340.735352,2729.103516,672.757019
0.190000,attacker,9,4657.816406,4056.481934,694.197083
0.190000,defender,0,964.007568,904.719177,172.156631
0.190000,defender,1,1185.911987,3990.343506,73.072533
0.190000,defender,2,3822.074219,1062.112305,66.934387
0.190000,defender,3,3938.842285,3832.803467,91.123566
0.190000,defender,4,2389.392578,1141.766724,87.561386
0.190000,defender,5,2357.373535,4076.155518,117.733627
0.190000,defender,6,1036.035400,2658.948242,115.925888
0.190000,defender,7,4059.980713,2653.260742,113.648849
0.190000,defender,8,1478.911133,2176.206299,92.222839
0.190000,defender,9,3357.364746,3107.245850,90.287956
