time,type,id,x,y,z
0.000000,attacker,0,1618.347412,3595.493408,0.670958
0.000000,defender,8,4293.810547,1736.216309,2.866716
0.010000,attacker,0,1619.329712,3594.810791,2.866264
0.010000,defender,8,4285.799316,1741.783569,5.062737
0.020000,attacker,0,1620.312378,3594.127930,5.061382
0.020000,defender,8,4277.788086,1747.350708,7.259018
0.030000,attacker,0,1621.295410,3593.444824,7.256314
0.030000,defender,8,4269.777344,1752.917847,9.455561
0.040000,attacker,0,1622.278809,3592.761475,9.451059
0.040000,defender,8,4261.766602,1758.484863,11.652365
0.050000,attacker,0,1623.262451,3592.077881,11.645618
0.050000,defender,8,4253.755859,1764.051758,13.849430
0.060000,attacker,0,1624.246460,3591.394043,13.839991
0.060000,defender,8,4245.745117,1769.618652,16.046757
0.070000,attacker,0,1625.230835,3590.709961,16.034176
0.070000,defender,8,4237.734863,1775.185425,18.244345
0.080000,attacker,0,1626.215576,3590.025635,18.228176
0.080000,defender,8,4229.724609,1780.752075,20.442194
0.090000,attacker,0,1627.200684,3589.341064,20.421989
0.090000,defender,8,4221.714355,1786.318726,22.640305
0.100000,attacker,0,1628.186157,3588.656250,22.615616
0.100000,defender,8,4213.704102,1791.885254,24.838676
0.110000,attacker,0,1629.171997,3587.971191,24.809055
0.110000,defender,8,4205.694336,1797.451660,27.037308
0.120000,attacker,0,1630.158203,3587.285889,27.002310
0.120000,defender,8,4197.684570,1803.018066,29.236200
0.130000,attacker,0,1631.144775,3586.600342,29.195377
0.130000,defender,8,4189.674805,1808.584351,31.435354
0.140000,attacker,0,1632.131714,3585.914551,31.388260
0.140000,defender,8,4181.665039,1814.150513,33.634769
0.150000,attacker,0,1633.119019,3585.228516,33.580956
0.150000,defender,8,4173.655273,1819.716675,35.834446
0.160000,attacker,0,1634.106567,3584.542236,35.773464
0.160000,defender,8,4165.645996,1825.282715,38.034386
0.170000,attacker,0,1635.094482,3583.855713,37.965790
0.170000,defender,8,4157.636719,1830.848633,40.234585
0.180000,attacker,0,1636.082764,3583.168945,40.157928
0.180000,defender,8,4149.627441,1836.414551,42.435047
0.190000,attacker,0,1637.071411,3582.481934,42.349880
0.190000,defender,8,4141.618164,1841.980347,44.635769
0.200000,attacker,0,1638.060425,3581.794678,44.541649
0.200000,defender,8,4133.609375,1847.546021,46.836754
0.210000,attacker,0,1639.049805,3581.107178,46.733231
0.210000,defender,8,4125.600586,1853.111694,49.037998
0.220000,attacker,0,1640.039551,3580.419434,48.924625
0.220000,defender,8,4117.591797,1858.677246,51.239506
0.230000,attacker,0,1641.029663,3579.731445,51.115837
0.230000,defender,8,4109.583008,1864.242676,53.441273
0.240000,attacker,0,1642.020142,3579.043213,53.306862
0.240000,defender,8,4101.574707,1869.807983,55.643303
0.250000,attacker,0,1643.010986,3578.354736,55.497700
0.250000,defender,8,4093.566406,1875.373291,57.845592
0.260000,attacker,0,1644.002197,3577.666016,57.688354
0.260000,defender,8,4085.558105,1880.938477,60.048145
0.270000,attacker,0,1644.993774,3576.977051,59.878822
0.270000,defender,8,4077.550049,1886.503540,62.250957
0.280000,attacker,0,1645.985596,3576.287842,62.069107
0.280000,defender,8,4069.541992,1892.068604,64.454033
0.290000,attacker,0,1646.977783,3575.598389,64.259209
0.290000,defender,8,4061.534180,1897.633545,66.657372
0.300000,attacker,0,1647.970337,3574.908691,66.449120
