time,x,y,z,vx,vy,vz,v,rho,height
0.000000,0.000000,0.000000,0.000000,60.633900,70.710678,36.380341,99.999992,583.095189,0.000000
0.010000,0.606339,0.707107,0.363803,60.633900,70.612579,36.380341,99.930649,582.388501,0.707107
0.020000,1.212678,1.413233,0.727607,60.633900,70.514481,36.380341,99.861359,581.682697,1.413233
0.030000,1.819017,2.118377,1.091410,60.633900,70.416382,36.380341,99.792114,580.977725,2.118377
0.040000,2.425356,2.822541,1.455214,60.633900,70.318283,36.380341,99.722916,580.273636,2.822541
0.050000,3.031695,3.525724,1.819017,60.633900,70.220184,36.380341,99.653763,579.570362,3.525724
0.060000,3.638034,4.227926,2.182820,60.633900,70.122086,36.380341,99.584663,578.867987,4.227926
0.070000,4.244373,4.929147,2.546624,60.633900,70.023987,36.380341,99.515617,578.166441,4.929147
0.080000,4.850712,5.629386,2.910427,60.633900,69.925888,36.380341,99.446617,577.465777,5.629386
0.090000,5.457051,6.328645,3.274230,60.633900,69.827789,36.380341,99.377655,576.765942,6.328645
0.100000,6.063390,7.026923,3.638034,60.633900,69.729691,36.380341,99.308754,576.066987,7.026923
0.110000,6.669729,7.724220,4.001837,60.633900,69.631592,36.380341,99.239899,575.368861,7.724220
0.120000,7.276068,8.420536,4.365641,60.633900,69.533493,36.380341,99.171097,574.671615,8.420536
0.130000,7.882407,9.115871,4.729444,60.633900,69.435394,36.380341,99.102341,573.975195,9.115871
0.140000,8.488746,9.810225,5.093247,60.633900,69.337296,36.380341,99.033630,573.279639,9.810225
0.150000,9.095085,10.503598,5.457051,60.633900,69.239197,36.380341,98.964973,572.584925,10.503598
0.160000,9.701424,11.195991,5.820854,60.633900,69.141098,36.380341,98.896362,571.891088,11.195991
0.170000,10.307762,11.887402,6.184658,60.633900,69.042999,36.380341,98.827805,571.198077,11.887402
0.180000,10.914101,12.577831,6.548461,60.633900,68.944901,36.380341,98.759293,570.505943,12.577831
0.190000,11.520439,13.267281,6.912264,60.633900,68.846802,36.380341,98.690834,569.814634,13.267281
0.200000,12.126778,13.955749,7.276068,60.633900,68.748703,36.380341,98.622429,569.124200,13.955749
0.210000,12.733116,14.643235,7.639871,60.633900,68.650604,36.380341,98.554070,568.434590,14.643235
0.220000,13.339455,15.329741,8.003675,60.633900,68.552505,36.380341,98.485764,567.745855,15.329741
0.230000,13.945793,16.015266,8.367477,60.633900,68.454407,36.380341,98.417503,567.057927,16.015266
0.240000,14.552132,16.699810,8.731281,60.633900,68.356308,36.380341,98.349297,566.370889,16.699810
0.250000,15.158470,17.383373,9.095085,60.633900,68.258209,36.380341,98.281136,565.684672,17.383373
0.260000,15.764809,18.065956,9.458889,60.633900,68.160110,36.380341,98.213036,564.999329,18.065956
0.270000,16.371147,18.747557,9.822693,60.633900,68.062012,36.380341,98.144974,564.314806,18.747557
0.280000,16.977486,19.428177,10.186497,60.633900,67.963913,36.380341,98.076965,563.631156,19.428177
0.290000,17.583824,20.107817,10.550301,60.633900,67.865814,36.380341,98.009018,562.948325,20.107817
0.300000,18.190163,20.786474,10.914104,60.633900,67.767715,36.380341,97.941116,562.266366,20.786474
0.310000,18.796501,21.464151,11.277908,60.633900,67.669617,36.380341,97.873260,561.585225,21.464151
0.320000,19.402840,22.140848,11.641712,60.633900,67.571518,36.380341,97.805466,560.904939,22.140848
0.330000,20.009178,22.816563,12.005516,60.633900,67.473419,36.380341,97.737717,560.225486,22.816563
0.340000,20.615517,23.491297,12.369320,60.633900,67.375320,36.380341,97.670021,559.546903,23.491297
0.350000,21.221855,24.165051,12.733124,60.633900,67.277222,36.380341,97.602379,558.869137,24.165051
0.360000,21.828194,24.837822,13.096928,60.633900,67.179123,36.380341,97.534782,558.192239,24.837822
0.370000,22.434532,25.509613,13.460732,60.633900,67.081024,36.380341,97.467239,557.516158,25.509613
0.380000,23.040871,26.180424,13.824535,60.633900,66.982925,36.380341,97.399750,556.840943,26.180424
0.390000,23.647209,26.850252,14.188339,60.633900,66.884827,36.380341,97.332314,556.166528,26.850252
0.400000,24.253548,27.519100,14.552143,60.633900,66.786728,36.380341,97.264923,555.492995,27.519100
0.410000,24.859886,28.186968,14.915947,60.633900,66.688629,36.380341,97.197594,554.820276,28.186968
0.420000,25.466225,28.853853,15.279751,60.633900,66.590530,36.380341,97.130310,554.148422,28.853853
0.430000,26.072563,29.519758,15.643555,60.633900,66.492432,36.380341,97.063080,553.477382,29.519758
0.440000,26.678902,30.184683,16.007359,60.633900,66.394333,36.380341,96.995911,552.807206,30.184683
0.450000,27.285240,30.848625,16.371162,60.633900,66.296234,36.380341,96.928787,552.137842,30.848625
0.460000,27.891579,31.511587,16.734966,60.633900,66.198135,36.380341,96.861717,551.469342,31.511587
0.470000,28.497917,32.173569,17.098770,60.633900,66.100037,36.380341,96.794701,550.801652,32.173569
0.480000,29.104256,32.834568,17.462574,60.633900,66.001938,36.380341,96.727737,550.134810,32.834568
0.490000,29.710594,33.494587,17.826378,60.633900,65.903839,36.380341,96.660820,549.468793,33.494587
0.500000,30.316933,34.153625,18.190182,60.633900,65.805740,36.380341,96.593964,548.803638,34.153625
0.510000,30.923271,34.811684,18.553986,60.633900,65.707642,36.380341,96.527161,548.139291,34.811684
0.520000,31.529610,35.468761,18.917789,60.633900,65.609543,36.380341,96.460411,547.475806,35.468761
0.530000,32.135948,36.124855,19.281593,60.633900,65.511444,36.380341,96.393715,546.813128,36.124855
0.540000,32.742287,36.779968,19.645397,60.633900,65.413345,36.380341,96.327072,546.151310,36.779968
0.550000,33.348625,37.434101,20.009201,60.633900,65.315247,36.380341,96.260483,545.490283,37.434101
0.560000,33.954964,38.087254,20.373005,60.633900,65.217148,36.380341,96.193947,544.830131,38.087254
0.570000,34.561302,38.739426,20.736809,60.633900,65.119049,36.380341,96.127464,544.170785,38.739426
0.580000,35.167641,39.390617,21.100613,60.633900,65.020950,36.380341,96.061035,543.512296,39.390617
0.590000,35.773979,40.040829,21.464417,60.633900,64.922852,36.380341,95.994667,542.854613,40.040829
0.600000,36.380318,40.690056,21.828220,60.633900,64.824753,36.380341,95.928345,542.197786,40.690056
0.610000,36.986656,41.338303,22.192024,60.633900,64.726654,36.380341,95.862076,541.541762,41.338303
0.620000,37.592995,41.985569,22.555828,60.633900,64.628555,36.380341,95.795868,540.886595,41.985569
0.630000,38.199333,42.631855,22.919632,60.633900,64.530457,36.380341,95.729713,540.232230,42.631855
0.640000,38.805672,43.277161,23.283436,60.633900,64.432358,36.380341,95.663612,539.578705,43.277161
0.650000,39.412010,43.921486,23.647240,60.633900,64.334259,36.380341,95.597572,538.925997,43.921486
0.660000,40.018349,44.564827,24.011044,60.633900,64.236160,36.380341,95.531586,538.274142,44.564827
0.670000,40.624687,45.207188,24.374847,60.633900,64.138062,36.380341,95.465645,537.623089,45.207188
0.680000,41.231026,45.848568,24.738651,60.633900,64.039963,36.380341,95.399765,536.972888,45.848568
0.690000,41.837364,46.488968,25.102455,60.633900,63.941864,36.380341,95.333939,536.323487,46.488968
0.700000,42.443703,47.128387,25.466259,60.633900,63.843765,36.380341,95.268173,535.674937,47.128387
0.710000,43.050041,47.766827,25.830063,60.633900,63.745667,36.380341,95.202461,535.027171,47.766827
0.720000,43.656380,48.404282,26.193867,60.633900,63.647568,36.380341,95.136803,534.380271,48.404282
0.730000,44.262718,49.040756,26.557671,60.633900,63.549469,36.380341,95.071205,533.734168,49.040756
0.740000,44.869057,49.676250,26.921474,60.633900,63.451370,36.380341,95.005661,533.088915,49.676250
