t,x,y,z,id,type
0.00,4985.6,10042.1,0.0,0,atk
0.00,4971.7,1201.4,0.0,1,atk
0.00,6685.8,3244.5,0.0,2,atk
0.00,13534.5,10501.0,0.0,3,atk
0.00,13921.1,14059.0,0.0,4,atk
0.00,8160.0,31.1,0.0,5,atk
0.00,6216.1,10899.4,0.0,6,atk
0.00,4499.0,10001.0,0.0,7,atk
0.00,9471.7,6902.5,0.0,8,atk
0.00,9670.9,7374.0,0.0,9,atk
0.00,8727.8,9192.5,0.0,2,def
0.00,12908.0,10778.5,0.0,4,def
0.00,6971.1,13128.7,0.0,5,def
0.00,13925.6,12808.7,0.0,6,def
0.00,5040.2,11784.1,0.0,7,def
0.00,8141.4,393.7,0.0,8,def
0.22,4954.1,10033.7,32.3,0,atk
0.22,4941.5,1218.3,34.3,1,atk
0.22,6653.5,3274.8,44.0,2,atk
0.22,13498.9,10522.6,41.5,3,atk
0.22,13866.9,14037.9,57.9,4,atk
0.22,8162.9,77.6,46.4,5,atk
0.22,6187.4,10862.6,46.4,6,atk
0.22,4476.9,9965.3,41.8,7,atk
0.22,9445.1,6931.8,39.3,8,atk
0.22,9642.6,7400.9,38.7,9,atk
0.22,8730.7,9187.0,0.1,2,def
0.22,12913.6,10776.0,0.2,4,def
0.22,6969.1,13122.8,0.1,5,def
0.22,13925.5,12814.9,0.1,6,def
0.22,5045.1,11780.3,0.1,7,def
0.22,8141.8,387.6,0.4,8,def
0.40,4928.3,10026.8,58.5,0,atk
0.40,4916.8,1232.2,62.1,1,atk
0.40,6627.0,3299.6,79.7,2,atk
0.40,13469.7,10540.4,75.0,3,atk
0.40,13822.6,14020.6,104.9,4,atk
0.40,8165.2,115.8,84.0,5,atk
0.40,6163.9,10832.4,84.0,6,atk
0.40,4458.8,9936.0,75.7,7,atk
0.40,9423.4,6955.8,71.1,8,atk
0.40,9619.5,7422.8,70.0,9,atk
0.40,8736.3,9175.9,0.3,2,def
0.40,12925.0,10771.0,0.8,4,def
0.40,6965.1,13111.1,0.3,5,def
0.40,13925.0,12827.3,0.6,6,def
0.40,5054.8,11772.6,0.4,7,def
0.40,8142.6,375.3,1.9,8,def
0.62,4896.8,10018.4,89.9,0,atk
0.62,4886.6,1249.1,95.5,1,atk
0.62,6594.7,3329.8,122.8,2,atk
0.62,13434.0,10562.0,115.7,3,atk
0.62,13768.4,13999.5,161.9,4,atk
0.62,8168.1,162.4,129.6,5,atk
0.62,6135.2,10795.6,129.6,6,atk
0.62,4436.6,9900.2,116.6,7,atk
0.62,9396.8,6985.1,109.5,8,atk
0.62,9591.3,7449.7,107.9,9,atk
0.62,8747.3,9154.3,0.9,2,def
0.62,12947.2,10761.5,3.0,4,def
0.62,6957.1,13088.2,0.9,5,def
0.62,13923.5,12851.4,2.1,6,def
0.62,5073.5,11757.2,1.4,7,def
0.62,8144.4,351.9,7.1,8,def
0.82,4868.2,10010.8,118.1,0,atk
0.82,4859.2,1264.4,125.5,1,atk
0.82,6565.3,3357.3,161.6,2,atk
0.82,13401.6,10581.7,152.2,3,atk
0.82,13719.2,13980.3,213.3,4,atk
0.82,8170.8,204.7,170.6,5,atk
0.82,6109.1,10762.2,170.6,6,atk
0.82,4416.5,9867.7,153.4,7,atk
0.82,9372.6,7011.7,144.1,8,atk
0.82,9565.7,7474.1,141.8,9,atk
0.82,8761.2,9126.7,2.0,2,def
0.82,12975.4,10749.6,6.9,4,def
0.82,6946.8,13059.0,1.9,5,def
0.82,13920.9,12882.1,4.8,6,def
0.82,5097.1,11737.3,3.1,7,def
0.82,8146.9,323.5,16.8,8,def
1.02,4839.5,10003.2,146.0,0,atk
1.02,4831.8,1279.8,155.1,1,atk
